seq,submitted,processed,returned,result
423,2019-12-02 22:37:31.843000+00:00,2019-12-02 22:37:31.915000+00:00,2019-12-02 22:37:31.915000+00:00,NO_CHANGE
425,2019-12-02 22:37:31.915000+00:00,2019-12-02 22:37:31.993000+00:00,2019-12-02 22:37:31.994000+00:00,NO_CHANGE
427,2019-12-02 22:37:31.994000+00:00,2019-12-02 22:37:32.061000+00:00,2019-12-02 22:37:32.061000+00:00,NO_CHANGE
428,2019-12-02 22:37:32.061000+00:00,2019-12-02 22:37:32.137000+00:00,2019-12-02 22:37:32.137000+00:00,NO_CHANGE
430,2019-12-02 22:37:32.137000+00:00,2019-12-02 22:37:32.207000+00:00,2019-12-02 22:37:32.208000+00:00,NO_CHANGE
432,2019-12-02 22:37:32.208000+00:00,2019-12-02 22:37:32.258000+00:00,2019-12-02 22:37:32.258000+00:00,JUNK_FRAME
433,2019-12-02 22:37:32.258000+00:00,2019-12-02 22:37:32.307000+00:00,2019-12-02 22:37:32.307000+00:00,JUNK_FRAME
434,2019-12-02 22:37:32.307000+00:00,2019-12-02 22:37:32.354000+00:00,2019-12-02 22:37:32.354000+00:00,JUNK_FRAME
435,2019-12-02 22:37:32.354000+00:00,2019-12-02 22:37:32.393000+00:00,2019-12-02 22:37:32.393000+00:00,JUNK_FRAME
436,2019-12-02 22:37:32.393000+00:00,2019-12-02 22:37:32.435000+00:00,2019-12-02 22:37:32.435000+00:00,JUNK_FRAME
437,2019-12-02 22:37:32.435000+00:00,2019-12-02 22:37:32.473000+00:00,2019-12-02 22:37:32.473000+00:00,JUNK_FRAME
438,2019-12-02 22:37:32.474000+00:00,2019-12-02 22:37:32.512000+00:00,2019-12-02 22:37:32.512000+00:00,JUNK_FRAME
439,2019-12-02 22:37:32.512000+00:00,2019-12-02 22:37:32.550000+00:00,2019-12-02 22:37:32.550000+00:00,JUNK_FRAME
440,2019-12-02 22:37:32.550000+00:00,2019-12-02 22:37:32.589000+00:00,2019-12-02 22:37:32.589000+00:00,JUNK_FRAME
441,2019-12-02 22:37:32.589000+00:00,2019-12-02 22:37:32.627000+00:00,2019-12-02 22:37:32.627000+00:00,JUNK_FRAME
442,2019-12-02 22:37:32.628000+00:00,2019-12-02 22:37:32.670000+00:00,2019-12-02 22:37:32.671000+00:00,JUNK_FRAME
443,2019-12-02 22:37:32.671000+00:00,2019-12-02 22:37:32.709000+00:00,2019-12-02 22:37:32.709000+00:00,JUNK_FRAME
444,2019-12-02 22:37:32.709000+00:00,2019-12-02 22:37:32.747000+00:00,2019-12-02 22:37:32.747000+00:00,JUNK_FRAME
445,2019-12-02 22:37:32.747000+00:00,2019-12-02 22:37:32.785000+00:00,2019-12-02 22:37:32.785000+00:00,JUNK_FRAME
446,2019-12-02 22:37:32.785000+00:00,2019-12-02 22:37:32.823000+00:00,2019-12-02 22:37:32.823000+00:00,JUNK_FRAME
447,2019-12-02 22:37:32.823000+00:00,2019-12-02 22:37:32.865000+00:00,2019-12-02 22:37:32.865000+00:00,JUNK_FRAME
448,2019-12-02 22:37:32.865000+00:00,2019-12-02 22:37:32.901000+00:00,2019-12-02 22:37:32.901000+00:00,JUNK_FRAME
449,2019-12-02 22:37:32.901000+00:00,2019-12-02 22:37:32.941000+00:00,2019-12-02 22:37:32.941000+00:00,JUNK_FRAME
450,2019-12-02 22:37:32.946000+00:00,2019-12-02 22:37:32.983000+00:00,2019-12-02 22:37:32.983000+00:00,JUNK_FRAME
451,2019-12-02 22:37:32.984000+00:00,2019-12-02 22:37:33.020000+00:00,2019-12-02 22:37:33.020000+00:00,JUNK_FRAME
452,2019-12-02 22:37:33.028000+00:00,2019-12-02 22:37:33.063000+00:00,2019-12-02 22:37:33.063000+00:00,JUNK_FRAME
453,2019-12-02 22:37:33.069000+00:00,2019-12-02 22:37:33.106000+00:00,2019-12-02 22:37:33.106000+00:00,JUNK_FRAME
454,2019-12-02 22:37:33.113000+00:00,2019-12-02 22:37:33.151000+00:00,2019-12-02 22:37:33.151000+00:00,JUNK_FRAME
455,2019-12-02 22:37:33.152000+00:00,2019-12-02 22:37:33.186000+00:00,2019-12-02 22:37:33.186000+00:00,JUNK_FRAME
456,2019-12-02 22:37:33.192000+00:00,2019-12-02 22:37:33.228000+00:00,2019-12-02 22:37:33.229000+00:00,JUNK_FRAME
457,2019-12-02 22:37:33.237000+00:00,2019-12-02 22:37:33.274000+00:00,2019-12-02 22:37:33.274000+00:00,JUNK_FRAME
458,2019-12-02 22:37:33.276000+00:00,2019-12-02 22:37:33.312000+00:00,2019-12-02 22:37:33.312000+00:00,JUNK_FRAME
459,2019-12-02 22:37:33.321000+00:00,2019-12-02 22:37:33.361000+00:00,2019-12-02 22:37:33.361000+00:00,JUNK_FRAME
460,2019-12-02 22:37:33.362000+00:00,2019-12-02 22:37:33.399000+00:00,2019-12-02 22:37:33.399000+00:00,JUNK_FRAME
461,2019-12-02 22:37:33.400000+00:00,2019-12-02 22:37:33.439000+00:00,2019-12-02 22:37:33.439000+00:00,JUNK_FRAME
462,2019-12-02 22:37:33.445000+00:00,2019-12-02 22:37:33.480000+00:00,2019-12-02 22:37:33.480000+00:00,JUNK_FRAME
463,2019-12-02 22:37:33.485000+00:00,2019-12-02 22:37:33.525000+00:00,2019-12-02 22:37:33.526000+00:00,JUNK_FRAME
464,2019-12-02 22:37:33.529000+00:00,2019-12-02 22:37:33.573000+00:00,2019-12-02 22:37:33.573000+00:00,JUNK_FRAME
465,2019-12-02 22:37:33.573000+00:00,2019-12-02 22:37:33.620000+00:00,2019-12-02 22:37:33.620000+00:00,JUNK_FRAME
466,2019-12-02 22:37:33.620000+00:00,2019-12-02 22:37:34.158000+00:00,2019-12-02 22:37:34.158000+00:00,SUCCESS
479,2019-12-02 22:37:34.160000+00:00,2019-12-02 22:37:34.667000+00:00,2019-12-02 22:37:34.667000+00:00,NO_CHANGE
491,2019-12-02 22:37:34.667000+00:00,2019-12-02 22:37:35.203000+00:00,2019-12-02 22:37:35.203000+00:00,NO_CHANGE
504,2019-12-02 22:37:35.203000+00:00,2019-12-02 22:37:35.708000+00:00,2019-12-02 22:37:35.708000+00:00,NO_CHANGE
516,2019-12-02 22:37:35.708000+00:00,2019-12-02 22:37:36.238000+00:00,2019-12-02 22:37:36.238000+00:00,NO_CHANGE
529,2019-12-02 22:37:36.238000+00:00,2019-12-02 22:37:36.757000+00:00,2019-12-02 22:37:36.757000+00:00,NO_CHANGE
541,2019-12-02 22:37:36.757000+00:00,2019-12-02 22:37:37.283000+00:00,2019-12-02 22:37:37.283000+00:00,NO_CHANGE
554,2019-12-02 22:37:37.283000+00:00,2019-12-02 22:37:37.321000+00:00,2019-12-02 22:37:37.322000+00:00,JUNK_FRAME
